Specialty,Can be subspecialty of,Diagnostic (D) or therapeutic (T) specialty,Surgical (S) or internal medicine specialty (I),Age range of patients,Organ-based (O) or technique-based (T)
Adolescent medicine,Paediatrics,Both,I,Paediatric,T
Allergy and immunology,Paediatrics or Internal medicine,Both,I,All,O
Anaesthesiology,None,T,Unknown,All,Both
Cardiology,Internal medicine,T,I,Adults,O
Cardiothoracic surgery,General surgery,T,S,Adults,O
Child and adolescent psychiatry and psychotherapy,Psychiatry,T,I,Paediatric,T
Clinical neurophysiology,Neurology,D,I,All,Both
Dermatology-Venereology,None,T,I,All,O
Emergency medicine,Anaesthetics,Both,I,All,Both
Endocrinology,Internal medicine,T,I,Adults,O
Gastroenterology,Internal medicine,T,I,Adults,O
General practice,None,Both,Neither,All,Multidisciplinary
General surgery,None,T,S,Adults,T
Geriatrics,Internal medicine or family medicine,T,I,Geriatric,Multidisciplinary
Health informatics,None,Both,Neither,All,Multidisciplinary
Hospice and palliative medicine,Various,Both,Neither,All,Neither
Infectious disease,Pediatrics or Internal medicine,Both,I,All,Neither
Internal medicine,None,T,I,Adults,Neither
Interventional radiology,Radiology,Both,Unknown,All,Multidisciplinary
Microbiology,None,D,I,All,T
Neonatology,Paediatrics,T,I,Neonatal,Neither
Nephrology,Internal medicine,T,I,Adults,O
Neurology,Internal medicine,T,I,Adults,O
Neuroradiology,Radiology,Both,I,All,Both
Neurosurgery,Surgery,T,S,All,O
Nuclear medicine,None,Both,I,All,T
Obstetrics and gynaecology,None,T,S,All,O
Occupational medicine,None,T,I,Adults,Multidisciplinary
Ophthalmology,None,T,S,All,O
Oral and maxillofacial surgery,Surgery,T,S,All,O
Orthopaedics,General surgery,T,S,All,O
Otorhinolaryngology,None,T,S,All,O
Paediatric allergology,Paediatrics,T,I,Paediatric,O
Paediatric cardiology,Paediatrics,T,I,Paediatric,O
Paediatric endocrinology and diabetes,Paediatrics,T,I,Paediatric,O
"Paediatric gastroenterology, hepatology and nutrition",Paediatrics,T,I,Paediatric,O
Paediatric haematology and oncology,Paediatrics,T,I,Paediatric,O
Paediatric infectious diseases,Paediatrics,T,I,Paediatric,O
Paediatric nephrology,Paediatrics,T,I,Paediatric,O
Paediatric respiratory medicine,Paediatrics,T,I,Paediatric,O
Paediatric rheumatology,Paediatrics,T,I,Paediatric,O
Paediatric surgery,General Surgery,T,S,Paediatric,O
Paediatrics,None,T,I,Paediatric,Neither
Pathology,None,D,Neither,All,T
Physical medicine and rehabilitation,None,T,I,Adults,Multidisciplinary
"Plastic, reconstructive and aesthetic surgery",General surgery,T,S,All,O
Podiatric medicine,Surgery,T,S,All,O
Psychiatry,Internal medicine,T,I,Adults,T
Public Health,None,Neither,Neither,All,T
Pulmonology,Internal medicine,T,I,Adults,O
Radiology,None,Both,I,All,T
Radiotherapy,None,T,I,Adults,T
Sports medicine,Family medicine,Both,Neither,All,Multidisciplinary
Urology,General surgery,T,S,All,O
Vascular medicine,Internal medicine,T,I,Adults,O
Vascular surgery,General surgery,T,S,All,O
